"AniList ID","Title","Format","Status","Progress","Volumes","Repeats","Score","Notes","Start Date","Completed Date"
30289,"Agmaui Sinbu","MANGA","COMPLETED",18,1,0,50,"","0000-00-00","2025-8-12"
51751,"Hot Liquid","MANGA","PLANNING",0,"",0,0,"","0000-00-00","0000-00-00"
59659,"Kataribe no List","MANGA","COMPLETED",32,6,0,90,"","0000-00-00","0000-00-00"
85779,"Hoshi no Ponko to Toufuya Reiko","MANGA","PLANNING",0,"",0,0,"","0000-00-00","0000-00-00"
86635,"Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen","MANGA","DROPPED",30,3,0,60,"","0000-00-00","0000-00-00"
97538,"Ureshon!","MANGA","CURRENT",11,4,0,0,"","2025-8-19","0000-00-00"
97553,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.","MANGA","DROPPED",6,1,0,40,"","0000-00-00","0000-00-00"
97852,"Komi-san wa, Komyushou desu.","MANGA","CURRENT",0,19,0,0,"","0000-00-00","0000-00-00"
99943,"Kanojo, Okarishimasu","MANGA","CURRENT",41,5,0,0,"","0000-00-00","0000-00-00"
100230,"Go-toubun no Hanayome","MANGA","COMPLETED",122,14,0,90,"","0000-00-00","0000-00-00"
100766,"Blue Phobia","MANGA","COMPLETED",18,2,0,80,"","0000-00-00","0000-00-00"
101311,"Bakemonogatari","MANGA","CURRENT",0,10,0,0,"","0000-00-00","0000-00-00"
105097,"Mieruko-chan","MANGA","CURRENT",0,1,0,0,"","2025-8-12","0000-00-00"
105577,"Giji Harem","MANGA","CURRENT",0,2,0,0,"","0000-00-00","0000-00-00"
105778,"Chainsaw Man","MANGA","CURRENT",0,6,0,0,"","0000-00-00","0000-00-00"
105791,"Hige wo Soru. Soshite Joshikousei wo Hirou.","MANGA","CURRENT",0,2,0,0,"","2025-8-12","0000-00-00"
108178,"Fate/Grand Order: Mortalis:Stella","MANGA","DROPPED",4,1,0,50,"","2020-2-21","0000-00-00"
112878,"Motosaya","MANGA","COMPLETED",12,2,0,60,"","0000-00-00","2025-8-12"
112981,"Kubo-san wa Mob wo Yurusanai","MANGA","CURRENT",0,3,0,0,"","0000-00-00","0000-00-00"
116827,"BURN THE WITCH","MANGA","COMPLETED",5,1,0,90,"","0000-00-00","2025-8-14"
117195,"[Oshi no Ko]","MANGA","CURRENT",1,15,0,0,"","2026-4-2","0000-00-00"
129452,"Kedamonotachi no Jikan: Kyouizon Shoukougun","MANGA","CURRENT",1,1,0,0,"","2025-8-24","0000-00-00"
132308,"Gokuri","MANGA","PLANNING",0,"",0,0,"","0000-00-00","0000-00-00"
139411,"Atarashii Kimi e","MANGA","CURRENT",1,1,0,0,"","2026-3-24","0000-00-00"
139841,"Batsuichi de Nakimushi na Otonari-san","MANGA","COMPLETED",31,1,0,70,"","0000-00-00","2025-8-14"

